X,Y,ANGLE
100.0,500.0,0
100.00029088810611,499.80000021153984,0.08333333333333333
100.00203621182001,499.4000040192515,0.25
100.00465419739086,498.8000097308191,0.25
100.00814484481866,498.00001734624254,0.25
100.0125081541034,497.0000268655218,0.25
100.0177441252451,495.80003828865694,0.25
100.02385275824375,494.4000516156479,0.25
100.03083405309934,492.8000668464947,0.25
100.06224838468646,491.0003409952132,1.0
100.12623287083728,489.00136476085424,1.8333333333333333
100.23178475358424,486.80389831058733,2.75
100.38875226373658,484.4090368948147,3.75
100.6078219332155,481.8182824718879,4.833333333333334
100.90050163036493,479.03362116485675,6.000000000000001
101.27909853777241,476.0576063158176,7.250000000000001
101.68293523900707,472.8831904768425,7.250000000000001
102.11201173406889,469.5103736479315,7.250000000000001
102.56632802295788,465.9391558290845,7.250000000000001
103.04588410567403,462.16953702030156,7.250000000000001
103.55067998221735,458.2015172215827,7.250000000000001
104.08071565258783,454.0350964329279,7.250000000000001
104.63599111678548,449.67027465433716,7.250000000000001
105.36880270989609,445.12902073399727,9.166666666666668
106.29838809456334,440.4198943805626,11.166666666666668
107.44439004917541,435.5529980882603,13.250000000000002
108.82674011038614,430.5401038834849,15.41666666666667
110.46552548740047,425.3947776073306,17.66666666666667
112.16500661911903,420.05888369131867,17.66666666666667
113.92518350554181,414.5324221354492,17.66666666666667
115.74605614666883,408.8153929397222,17.66666666666667
117.56692878779586,403.09836374399515,17.66666666666667
119.38780142892288,397.3813345482681,17.66666666666667
121.20867407004991,391.6643053525411,17.66666666666667
123.02954671117693,385.94727615681404,17.66666666666667
125.10624905364189,380.31812814127915,20.250000000000004
127.4345600881426,374.788302852301,22.833333333333336
130.00974739716597,369.36903995745587,25.416666666666668
132.8265767738813,364.0713544003023,28.0
135.8793228609475,358.9060140119153,30.583333333333332
139.16178078760998,353.88351762469006,33.166666666666664
142.6672787814346,349.0140737329,35.75
146.1727767752592,344.1446298411099,35.75
149.6782747690838,339.27518594931985,35.75
153.1837727629084,334.4057420575298,35.75
156.689270756733,329.5362981657397,35.75
160.1947687505576,324.66685427394964,35.75
163.91618169816718,319.96036028443217,38.333333333333336
167.84594562741802,315.42638239957665,40.91666666666667
171.97607308158055,311.07413617350295,43.50000000000001
176.298169354275,306.9124677809516,46.08333333333334
180.80344955216398,302.94983603695755,48.66666666666668
185.48275645072127,299.1942952038532,51.250000000000014
190.32657910678344,295.6534786205466,53.83333333333335
195.17040176284561,292.11266203724,53.83333333333335
200.0142244189078,288.5718454539334,53.83333333333335
204.85804707496996,285.0310288706268,53.83333333333335
209.70186973103213,281.4902122873202,53.83333333333335
214.5456923870943,277.9493957040136,53.83333333333335
219.38951504315648,274.40857912070703,53.83333333333335
224.38800812642688,271.08968368750976,56.416666666666686
229.53101193063955,267.99945523804945,59.00000000000002
234.80807302370903,265.14417482799996,61.58333333333336
240.20846549489374,262.5296459684975,64.16666666666669
245.72121275578712,260.1611828301919,66.75000000000001
251.33510985082432,258.04359944190867,69.33333333333334
257.03874623195753,256.1811999058763,71.91666666666667
262.82052895120927,254.57776964940678,74.5
268.66870622396306,253.2365677308107,77.08333333333333
274.5713913150984,252.16032021518595,79.66666666666666
280.5165866994197,251.3512146335436,82.24999999999999
286.49220844727205,250.8108955365334,84.83333333333331
292.4861107857788,250.5404611518059,87.41666666666664
298.4861107857788,250.5404611518059,89.99999999999997
304.48001312428556,250.8108955365334,92.5833333333333
310.4556348721379,251.3512146335436,95.16666666666663
316.4008302564592,252.16032021518595,97.74999999999996
322.30351534759455,253.2365677308107,100.33333333333329
328.15169262034834,254.57776964940678,102.91666666666661
